location,swing_type,frame_type,src_video,frame_path,label_path
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_10.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_10.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_1130.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_1130.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_1150.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_1150.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_1220.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_1220.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_1350.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_1350.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_1370.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_1370.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_150.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_150.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_170.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_170.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_190.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_190.txt
KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_240.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_240.txt
