,location,swing_type,frame_type,src_video,frame_path,label_path,train_set,val_set,test_set
0,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234030_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234030_sink\images\20250304_t_234030_sink_frame_right_560.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234030_sink\labels\20250304_t_234030_sink_frame_right_560.txt,1,0,0
1,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234108_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234108_sink\images\20250304_t_234108_sink_frame_right_280.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234108_sink\labels\20250304_t_234108_sink_frame_right_280.txt,1,0,0
2,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234255_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234255_sink\images\20250304_t_234255_sink_frame_right_1310.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234255_sink\labels\20250304_t_234255_sink_frame_right_1310.txt,1,0,0
3,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234030_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234030_sink\images\20250304_t_234030_sink_frame_right_1380.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234030_sink\labels\20250304_t_234030_sink_frame_right_1380.txt,1,0,0
4,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233910_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233910_sink\images\20250304_t_233910_sink_frame_right_1280.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233910_sink\labels\20250304_t_233910_sink_frame_right_1280.txt,1,0,0
5,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233718_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233718_sink\images\20250304_t_233718_sink_frame_right_630.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233718_sink\labels\20250304_t_233718_sink_frame_right_630.txt,1,0,0
6,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233950_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233950_sink\images\20250304_t_233950_sink_frame_right_240.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233950_sink\labels\20250304_t_233950_sink_frame_right_240.txt,1,0,0
7,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234255_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234255_sink\images\20250304_t_234255_sink_frame_right_410.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234255_sink\labels\20250304_t_234255_sink_frame_right_410.txt,1,0,0
8,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_234154_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234154_sink\images\20250304_t_234154_sink_frame_right_400.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_234154_sink\labels\20250304_t_234154_sink_frame_right_400.txt,1,0,0
9,KP_Common_Area,Flighted,None_Strike_frames,20250304_t_233610_sink,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\images\20250304_t_233610_sink_frame_right_890.jpeg,Golf_Ball_Flighted_data_labelled_final\KP_Common_Area\None_Strike_frames\20250304_t_233610_sink\labels\20250304_t_233610_sink_frame_right_890.txt,1,0,0
