epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.738,0.62894,1.57504,0.82766,0.9914,0.95039,0.9809,0.80145,0.53425,0.68702,0.83774,0.000662963,0.000662963,0.000662963
2,263.805,0.57755,0.72814,0.82725,0.98728,0.96429,0.97639,0.82869,0.48432,0.40428,0.8392,0.00131647,0.00131647,0.00131647
3,389.097,0.55284,0.49425,0.82695,1,0.95312,0.98619,0.80509,0.54926,0.37706,0.85358,0.00195677,0.00195677,0.00195677
4,518.56,0.54383,0.41634,0.82724,0.98873,0.96406,0.98394,0.83605,0.49254,0.33253,0.83279,0.0019406,0.0019406,0.0019406
5,643.974,0.51779,0.36679,0.81413,0.97098,0.95604,0.99009,0.87571,0.42697,0.29803,0.82541,0.0019208,0.0019208,0.0019208
6,792.454,0.50451,0.3525,0.81605,0.99671,0.96429,0.99065,0.87177,0.42174,0.28993,0.82105,0.001901,0.001901,0.001901
7,913.386,0.49749,0.33812,0.81297,0.99867,0.96978,0.99319,0.86129,0.44725,0.29258,0.82944,0.0018812,0.0018812,0.0018812
8,986.497,0.50072,0.33317,0.80901,0.99592,0.97253,0.99333,0.88589,0.41885,0.2826,0.82213,0.0018614,0.0018614,0.0018614
9,1033.81,0.48201,0.32224,0.80935,0.99964,0.98352,0.9938,0.89269,0.39956,0.27074,0.82026,0.0018416,0.0018416,0.0018416
10,1083.81,0.46239,0.31016,0.80904,0.99431,0.96082,0.98411,0.87072,0.40921,0.49336,0.82142,0.0018218,0.0018218,0.0018218
11,1131.13,0.46663,0.30248,0.8054,0.97243,0.96894,0.99267,0.89335,0.42312,0.27068,0.82257,0.001802,0.001802,0.001802
12,1255.55,0.4455,0.29826,0.80467,0.98179,0.96154,0.99237,0.87519,0.41181,0.25452,0.81955,0.0017822,0.0017822,0.0017822
13,1302.64,0.45086,0.29088,0.80259,0.99202,0.98077,0.99464,0.89408,0.40424,0.26878,0.81663,0.0017624,0.0017624,0.0017624
14,1349.46,0.44566,0.29064,0.80729,0.97787,0.97116,0.99162,0.91108,0.36138,0.23524,0.81125,0.0017426,0.0017426,0.0017426
15,1396.57,0.43191,0.28891,0.80371,1,0.97944,0.99463,0.90896,0.38636,0.24911,0.81428,0.0017228,0.0017228,0.0017228
16,1516.07,0.43436,0.28263,0.80283,0.98648,0.96978,0.99336,0.90361,0.38757,0.25024,0.81974,0.001703,0.001703,0.001703
17,1634.44,0.42556,0.27945,0.79879,0.99097,0.98901,0.99484,0.92076,0.36491,0.22998,0.8136,0.0016832,0.0016832,0.0016832
18,1680.97,0.43147,0.27524,0.80127,0.99443,0.98008,0.99434,0.9111,0.3651,0.23863,0.81038,0.0016634,0.0016634,0.0016634
19,1727.99,0.42433,0.27705,0.79861,0.99705,0.98352,0.99287,0.91419,0.35686,0.24581,0.81484,0.0016436,0.0016436,0.0016436
20,1848.64,0.42158,0.26929,0.79902,0.99105,0.98077,0.99433,0.93549,0.34977,0.2302,0.81009,0.0016238,0.0016238,0.0016238
21,1916.04,0.40762,0.26217,0.79811,0.99501,0.99176,0.99494,0.92016,0.34953,0.22377,0.80937,0.001604,0.001604,0.001604
22,2020.7,0.4149,0.26588,0.79225,0.98903,0.99056,0.99481,0.92955,0.34512,0.2169,0.81037,0.0015842,0.0015842,0.0015842
23,2076.06,0.4205,0.26726,0.79642,1,0.97494,0.99241,0.9156,0.35884,0.22258,0.81366,0.0015644,0.0015644,0.0015644
24,2177.19,0.40344,0.25683,0.79209,0.99178,0.99469,0.99475,0.92502,0.34103,0.21882,0.80702,0.0015446,0.0015446,0.0015446
25,2224.57,0.41319,0.26345,0.79328,0.99721,0.98349,0.99489,0.93097,0.33651,0.21515,0.80882,0.0015248,0.0015248,0.0015248
26,2271.69,0.40442,0.25685,0.79774,0.99448,0.99026,0.99492,0.92305,0.36289,0.22775,0.80725,0.001505,0.001505,0.001505
27,2386.14,0.40766,0.25899,0.79759,0.99721,0.98262,0.99484,0.91869,0.34894,0.21332,0.80997,0.0014852,0.0014852,0.0014852
28,2499.24,0.39338,0.24532,0.79224,0.98626,0.98901,0.99475,0.91961,0.34039,0.212,0.80828,0.0014654,0.0014654,0.0014654
29,2618.57,0.40638,0.2514,0.79444,0.99725,0.99553,0.99492,0.92788,0.33896,0.21322,0.80702,0.0014456,0.0014456,0.0014456
30,2678.64,0.39519,0.2489,0.79613,0.99721,0.98244,0.99489,0.93733,0.33327,0.20905,0.809,0.0014258,0.0014258,0.0014258
31,2787.98,0.38564,0.2433,0.79167,0.99448,0.99075,0.99492,0.92911,0.32435,0.19923,0.80495,0.001406,0.001406,0.001406
32,2836.94,0.38691,0.24514,0.78968,1,0.98207,0.99492,0.9328,0.33012,0.1997,0.80336,0.0013862,0.0013862,0.0013862
33,2885.4,0.37855,0.23895,0.78755,0.99724,0.99408,0.995,0.93603,0.32313,0.19885,0.8052,0.0013664,0.0013664,0.0013664
34,2932.43,0.39153,0.24415,0.7964,1,0.99102,0.995,0.94142,0.31502,0.19937,0.80414,0.0013466,0.0013466,0.0013466
35,2979.61,0.39067,0.24416,0.79185,0.99175,0.99057,0.99489,0.93233,0.33929,0.20767,0.80724,0.0013268,0.0013268,0.0013268
36,3027.42,0.38373,0.23618,0.79284,0.99769,0.98901,0.99497,0.93163,0.34225,0.20386,0.81069,0.001307,0.001307,0.001307
37,3075.93,0.38132,0.23858,0.79129,0.99173,0.98783,0.99478,0.93591,0.3326,0.2034,0.8084,0.0012872,0.0012872,0.0012872
38,3123.72,0.3788,0.23352,0.79055,1,0.98622,0.995,0.93532,0.31829,0.19725,0.80363,0.0012674,0.0012674,0.0012674
39,3171.78,0.37337,0.23186,0.79133,0.99008,0.99451,0.99486,0.94566,0.30618,0.19282,0.80303,0.0012476,0.0012476,0.0012476
40,3220.08,0.38291,0.23417,0.79087,0.99448,0.98965,0.99494,0.93511,0.31522,0.19055,0.80372,0.0012278,0.0012278,0.0012278
41,3268.9,0.37228,0.2331,0.79391,1,0.98836,0.99494,0.94101,0.32065,0.19962,0.80526,0.001208,0.001208,0.001208
42,3317.52,0.36837,0.22954,0.79128,1,0.98781,0.995,0.93966,0.31208,0.1956,0.80569,0.0011882,0.0011882,0.0011882
43,3366.13,0.37062,0.22678,0.78994,1,0.98562,0.9945,0.93288,0.30859,0.19127,0.80408,0.0011684,0.0011684,0.0011684
44,3414.47,0.36181,0.226,0.78833,0.99723,0.98835,0.99497,0.94044,0.31177,0.18908,0.80293,0.0011486,0.0011486,0.0011486
45,3463.09,0.37305,0.23069,0.79504,1,0.98866,0.995,0.94302,0.32206,0.19422,0.80583,0.0011288,0.0011288,0.0011288
46,3512.02,0.36532,0.22492,0.7868,0.99742,0.98626,0.99492,0.94506,0.31102,0.18712,0.80422,0.001109,0.001109,0.001109
47,3560.99,0.3655,0.22135,0.79174,1,0.98856,0.995,0.94399,0.30504,0.18416,0.8052,0.0010892,0.0010892,0.0010892
48,3609.67,0.35686,0.21705,0.7865,0.99416,0.98626,0.99475,0.94329,0.31956,0.18563,0.80525,0.0010694,0.0010694,0.0010694
49,3658.3,0.36131,0.2222,0.79068,0.99882,0.99176,0.995,0.93676,0.31484,0.18937,0.80475,0.0010496,0.0010496,0.0010496
50,3707.47,0.35489,0.218,0.78878,0.99937,0.98901,0.99497,0.94344,0.31503,0.19169,0.80317,0.0010298,0.0010298,0.0010298
51,3756.51,0.3548,0.21714,0.78764,0.99723,0.99068,0.99497,0.94709,0.29933,0.17771,0.80267,0.00101,0.00101,0.00101
52,3805.49,0.35415,0.21528,0.78754,0.99724,0.99312,0.99486,0.94025,0.306,0.18028,0.801,0.0009902,0.0009902,0.0009902
53,3854.22,0.34817,0.21449,0.79023,1,0.98842,0.99494,0.94404,0.301,0.18473,0.80137,0.0009704,0.0009704,0.0009704
54,3902.96,0.35312,0.2155,0.78584,1,0.99283,0.995,0.9455,0.30513,0.17769,0.80394,0.0009506,0.0009506,0.0009506
55,3952.21,0.35404,0.21531,0.78868,1,0.99016,0.995,0.94276,0.31038,0.18653,0.80256,0.0009308,0.0009308,0.0009308
56,4001.1,0.35273,0.21401,0.7872,0.99447,0.98822,0.99492,0.94974,0.29864,0.17666,0.80151,0.000911,0.000911,0.000911
57,4049.95,0.34969,0.21259,0.78935,0.99724,0.99128,0.99497,0.94517,0.29705,0.17629,0.80119,0.0008912,0.0008912,0.0008912
58,4098.73,0.34514,0.21155,0.7871,1,0.988,0.99494,0.94737,0.31059,0.17931,0.80203,0.0008714,0.0008714,0.0008714
59,4147.52,0.34396,0.20895,0.78524,0.99446,0.98557,0.99492,0.94893,0.30338,0.17372,0.80122,0.0008516,0.0008516,0.0008516
60,4196.73,0.34643,0.21001,0.79105,1,0.99022,0.995,0.94795,0.2917,0.16696,0.80006,0.0008318,0.0008318,0.0008318
61,4245.97,0.3407,0.20629,0.7881,0.99674,0.99176,0.99497,0.9493,0.2965,0.16967,0.80121,0.000812,0.000812,0.000812
62,4294.82,0.33875,0.20504,0.78166,1,0.98811,0.995,0.94909,0.29667,0.16938,0.80062,0.0007922,0.0007922,0.0007922
63,4343.22,0.33955,0.20486,0.78383,1,0.98406,0.99497,0.94766,0.29939,0.17131,0.80158,0.0007724,0.0007724,0.0007724
64,4391.52,0.33924,0.20418,0.78476,0.99722,0.98436,0.99492,0.94917,0.29321,0.17343,0.79888,0.0007526,0.0007526,0.0007526
65,4440.32,0.3312,0.20178,0.78354,1,0.98579,0.995,0.95302,0.29116,0.17099,0.8006,0.0007328,0.0007328,0.0007328
66,4489.05,0.33324,0.19854,0.78757,0.99446,0.98656,0.99484,0.95017,0.29806,0.1743,0.80059,0.000713,0.000713,0.000713
67,4537.64,0.33528,0.20311,0.78322,1,0.98374,0.99492,0.94648,0.30175,0.16821,0.80166,0.0006932,0.0006932,0.0006932
68,4585.98,0.33218,0.19823,0.78267,1,0.98601,0.99497,0.9506,0.2961,0.16659,0.80055,0.0006734,0.0006734,0.0006734
69,4634.44,0.3273,0.19492,0.78337,0.99959,0.98626,0.99497,0.95083,0.28595,0.16643,0.79879,0.0006536,0.0006536,0.0006536
70,4683.05,0.33023,0.19703,0.7883,1,0.99189,0.995,0.94833,0.29415,0.16746,0.80012,0.0006338,0.0006338,0.0006338
71,4731.53,0.32923,0.1952,0.78338,0.99771,0.98626,0.99497,0.94736,0.29556,0.16828,0.80067,0.000614,0.000614,0.000614
