epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.344,3.37034,8.92043,2.53683,0.94605,0.62624,0.69092,0.44109,1.37072,1.68046,1.31162,0.000662963,0.000662963,0.000662963
2,310.242,1.20018,1.43808,1.0994,0.96565,0.78022,0.84895,0.58723,1.04199,0.89627,1.02967,0.00131647,0.00131647,0.00131647
3,448.011,0.96682,0.85888,0.97817,0.9564,0.82692,0.86178,0.67003,0.74677,0.56067,0.94148,0.00195677,0.00195677,0.00195677
4,545.681,0.87817,0.65444,0.94845,0.97878,0.9011,0.93049,0.75966,0.6667,0.47484,0.91803,0.0019406,0.0019406,0.0019406
5,614.188,0.77335,0.54096,0.90652,0.97926,0.90796,0.96287,0.77677,0.63073,0.43592,0.89189,0.0019208,0.0019208,0.0019208
6,883.595,0.74034,0.50583,0.90052,0.97227,0.86697,0.88962,0.74838,0.59158,0.70407,0.89587,0.001901,0.001901,0.001901
7,1085.24,0.70914,0.46048,0.8861,0.97276,0.93956,0.97914,0.81166,0.53327,0.35062,0.86547,0.0018812,0.0018812,0.0018812
8,1302.38,0.65303,0.42587,0.87452,0.98996,0.93407,0.98022,0.81754,0.52305,0.35404,0.86262,0.0018614,0.0018614,0.0018614
9,1537.73,0.62783,0.4038,0.86458,0.99412,0.93681,0.97175,0.81992,0.56956,0.35962,0.87936,0.0018416,0.0018416,0.0018416
10,1737.53,0.62681,0.39368,0.86542,0.99081,0.91758,0.96028,0.81803,0.55104,0.36909,0.86579,0.0018218,0.0018218,0.0018218
11,1936.02,0.59673,0.38052,0.85599,0.99147,0.95802,0.9878,0.84937,0.52055,0.32771,0.86914,0.001802,0.001802,0.001802
12,2131.84,0.57887,0.37211,0.85277,0.9924,0.95879,0.99068,0.83515,0.49329,0.32138,0.85217,0.0017822,0.0017822,0.0017822
13,2291.53,0.57591,0.36201,0.84935,0.99075,0.9533,0.98299,0.85565,0.44963,0.31164,0.84256,0.0017624,0.0017624,0.0017624
14,2488.23,0.5629,0.3574,0.85028,0.99046,0.94231,0.9835,0.86971,0.45128,0.29206,0.84082,0.0017426,0.0017426,0.0017426
15,2720.42,0.55883,0.35291,0.84843,0.99005,0.96703,0.99154,0.84836,0.51691,0.32034,0.85349,0.0017228,0.0017228,0.0017228
16,2854.74,0.54058,0.33801,0.8447,0.98355,0.98549,0.99437,0.87556,0.41569,0.2714,0.83434,0.001703,0.001703,0.001703
17,2993.75,0.53608,0.33472,0.83787,0.98691,0.98352,0.99456,0.86615,0.45207,0.2888,0.84202,0.0016832,0.0016832,0.0016832
18,3157.61,0.53586,0.32921,0.83992,0.98816,0.98077,0.99462,0.88873,0.41435,0.27193,0.83106,0.0016634,0.0016634,0.0016634
19,3315.02,0.51934,0.32755,0.83633,0.99379,0.98352,0.99472,0.87125,0.4402,0.28735,0.83593,0.0016436,0.0016436,0.0016436
20,3524.66,0.53184,0.3246,0.83664,0.99447,0.98814,0.99459,0.85828,0.43124,0.26766,0.83008,0.0016238,0.0016238,0.0016238
21,3738.91,0.50182,0.31153,0.83335,0.985,0.97802,0.99426,0.88779,0.4012,0.25659,0.83113,0.001604,0.001604,0.001604
22,3925.83,0.50037,0.31469,0.82927,0.99434,0.96474,0.99357,0.89622,0.41348,0.27134,0.83245,0.0015842,0.0015842,0.0015842
23,4079.39,0.50155,0.31007,0.82937,0.98347,0.98092,0.99386,0.89667,0.4333,0.26911,0.84012,0.0015644,0.0015644,0.0015644
24,4218.83,0.48734,0.30163,0.82313,0.98537,0.97527,0.9938,0.88561,0.41123,0.26298,0.83025,0.0015446,0.0015446,0.0015446
25,4386.15,0.48779,0.30036,0.82452,0.98334,0.97286,0.99369,0.89674,0.39563,0.25889,0.82714,0.0015248,0.0015248,0.0015248
26,4568.16,0.4831,0.29843,0.82767,0.99438,0.97265,0.99456,0.89546,0.41192,0.24887,0.83628,0.001505,0.001505,0.001505
27,4713.56,0.4829,0.29842,0.82672,0.98633,0.99092,0.99481,0.89746,0.39937,0.25046,0.83014,0.0014852,0.0014852,0.0014852
28,4853.04,0.46598,0.29427,0.82077,0.98734,0.98626,0.99467,0.87908,0.41337,0.24983,0.83391,0.0014654,0.0014654,0.0014654
29,5011.01,0.47518,0.29627,0.82421,0.98873,0.96379,0.99304,0.88063,0.40309,0.25756,0.83185,0.0014456,0.0014456,0.0014456
30,5138.61,0.48158,0.29706,0.82821,1,0.98074,0.99486,0.9088,0.388,0.2411,0.82646,0.0014258,0.0014258,0.0014258
31,5257.49,0.46727,0.28771,0.82079,0.99723,0.98894,0.99489,0.90994,0.38648,0.23678,0.82581,0.001406,0.001406,0.001406
32,5371.35,0.46423,0.28638,0.81808,0.98356,0.97802,0.99432,0.90693,0.3913,0.23863,0.82562,0.0013862,0.0013862,0.0013862
33,5440.59,0.44796,0.27847,0.81534,0.98622,0.98077,0.99447,0.89971,0.42832,0.24875,0.83169,0.0013664,0.0013664,0.0013664
34,5494.91,0.47191,0.28451,0.82434,0.98629,0.98802,0.9947,0.89698,0.37856,0.23826,0.82187,0.0013466,0.0013466,0.0013466
35,5549.99,0.45652,0.27829,0.81765,0.99715,0.96062,0.99296,0.90193,0.3733,0.22945,0.8207,0.0013268,0.0013268,0.0013268
36,5639.72,0.44786,0.27477,0.81944,0.9889,0.97929,0.9943,0.91267,0.36804,0.22723,0.82181,0.001307,0.001307,0.001307
37,5689.75,0.45396,0.27458,0.81701,0.99722,0.98569,0.99492,0.91294,0.37382,0.22149,0.82422,0.0012872,0.0012872,0.0012872
38,5743.38,0.44919,0.27671,0.81757,0.98629,0.98811,0.99467,0.91531,0.36171,0.22357,0.82078,0.0012674,0.0012674,0.0012674
39,5854.8,0.44491,0.27167,0.81893,0.99157,0.96954,0.99443,0.92177,0.35283,0.22585,0.81804,0.0012476,0.0012476,0.0012476
40,5953.21,0.44777,0.27166,0.81695,0.99443,0.98036,0.99481,0.91731,0.36683,0.22439,0.82242,0.0012278,0.0012278,0.0012278
41,6066.53,0.44128,0.27542,0.82272,0.99717,0.96738,0.99449,0.91814,0.38091,0.23221,0.82673,0.001208,0.001208,0.001208
42,6174.91,0.43757,0.26682,0.81821,0.9913,0.96154,0.99246,0.91657,0.36547,0.21847,0.81798,0.0011882,0.0011882,0.0011882
43,6282.39,0.43295,0.26468,0.81491,0.99713,0.95567,0.99299,0.92035,0.34587,0.21906,0.81455,0.0011684,0.0011684,0.0011684
44,6408.19,0.42869,0.26312,0.8109,0.99625,0.98077,0.99475,0.92187,0.36453,0.22396,0.81796,0.0011486,0.0011486,0.0011486
45,6536.26,0.43982,0.26919,0.82117,0.9941,0.98626,0.9947,0.92324,0.35344,0.22659,0.81565,0.0011288,0.0011288,0.0011288
46,6660.14,0.42794,0.26324,0.80983,0.9917,0.98431,0.99481,0.9247,0.35411,0.21264,0.81651,0.001109,0.001109,0.001109
47,6780.27,0.42144,0.25687,0.81422,0.9889,0.97945,0.99464,0.92163,0.34599,0.21224,0.81632,0.0010892,0.0010892,0.0010892
48,6905.4,0.4165,0.25474,0.80816,0.99435,0.9678,0.99385,0.92587,0.34412,0.21277,0.81625,0.0010694,0.0010694,0.0010694
49,7015.7,0.42166,0.2562,0.81445,0.98899,0.98077,0.9947,0.92279,0.34855,0.20606,0.81681,0.0010496,0.0010496,0.0010496
50,7144.46,0.42008,0.25439,0.81149,0.99176,0.99209,0.99478,0.93141,0.3384,0.20586,0.81609,0.0010298,0.0010298,0.0010298
51,7263.33,0.41696,0.25212,0.80893,0.99446,0.9862,0.99475,0.92496,0.35712,0.21438,0.81933,0.00101,0.00101,0.00101
52,7378.86,0.41537,0.25205,0.80868,0.99089,0.97802,0.99448,0.93369,0.33344,0.20741,0.81331,0.0009902,0.0009902,0.0009902
53,7479.65,0.41037,0.25083,0.81154,0.99171,0.98547,0.99481,0.92706,0.34789,0.20996,0.81551,0.0009704,0.0009704,0.0009704
54,7588.16,0.41069,0.2475,0.80769,0.9889,0.97945,0.99459,0.92531,0.35061,0.20875,0.81578,0.0009506,0.0009506,0.0009506
55,7704.04,0.40991,0.24951,0.80964,0.99468,0.98626,0.99473,0.9228,0.35611,0.21138,0.81855,0.0009308,0.0009308,0.0009308
56,7810.03,0.41555,0.2509,0.80898,0.99168,0.98228,0.99459,0.92783,0.34565,0.20865,0.81714,0.000911,0.000911,0.000911
57,7936.93,0.41545,0.25183,0.8109,0.99178,0.99414,0.99494,0.92422,0.33189,0.20892,0.81259,0.0008912,0.0008912,0.0008912
58,8064.3,0.40331,0.24152,0.80597,0.99445,0.98418,0.99489,0.93398,0.34571,0.20713,0.81228,0.0008714,0.0008714,0.0008714
59,8199.48,0.39551,0.23624,0.80232,0.99169,0.98379,0.99484,0.93449,0.33214,0.19949,0.81439,0.0008516,0.0008516,0.0008516
60,8313.22,0.40047,0.24033,0.8097,0.99443,0.98163,0.99481,0.93862,0.33351,0.19581,0.81259,0.0008318,0.0008318,0.0008318
61,8426.19,0.39686,0.2407,0.80883,0.99447,0.98888,0.99486,0.92909,0.33158,0.19938,0.81066,0.000812,0.000812,0.000812
62,8563.6,0.39672,0.23772,0.80128,0.99544,0.98626,0.99486,0.93292,0.35694,0.20427,0.81649,0.0007922,0.0007922,0.0007922
63,8694.68,0.39648,0.23671,0.80344,0.99443,0.98074,0.99486,0.93659,0.32448,0.19645,0.81074,0.0007724,0.0007724,0.0007724
64,8813.58,0.39839,0.23852,0.80542,1,0.99288,0.995,0.93515,0.33086,0.19858,0.81143,0.0007526,0.0007526,0.0007526
65,8934.56,0.38914,0.23787,0.80315,0.99445,0.98444,0.99489,0.93781,0.32975,0.19923,0.81135,0.0007328,0.0007328,0.0007328
66,9049.92,0.38612,0.23421,0.80596,1,0.98683,0.995,0.93831,0.32854,0.19564,0.80986,0.000713,0.000713,0.000713
67,9156.16,0.38491,0.23178,0.80183,0.99804,0.98352,0.99492,0.93267,0.33225,0.19301,0.81148,0.0006932,0.0006932,0.0006932
68,9266.86,0.38825,0.23183,0.7999,1,0.98142,0.99494,0.94165,0.32782,0.19416,0.81073,0.0006734,0.0006734,0.0006734
69,9387.56,0.37917,0.22779,0.80091,0.99343,0.98626,0.99486,0.93745,0.32845,0.19376,0.81018,0.0006536,0.0006536,0.0006536
70,9508.74,0.38437,0.22815,0.80699,0.99723,0.98966,0.99494,0.93869,0.33191,0.19333,0.81065,0.0006338,0.0006338,0.0006338
71,9632.09,0.38101,0.23084,0.80158,1,0.98087,0.99492,0.93563,0.32662,0.19171,0.81073,0.000614,0.000614,0.000614
72,9758.33,0.38295,0.22755,0.80532,0.99732,0.98626,0.99497,0.93829,0.3217,0.19251,0.81072,0.0005942,0.0005942,0.0005942
73,9890.83,0.37374,0.22329,0.80241,0.99721,0.98349,0.99492,0.93133,0.32163,0.1883,0.80921,0.0005744,0.0005744,0.0005744
74,10032.4,0.37827,0.22307,0.79893,0.99449,0.99152,0.99492,0.93616,0.32857,0.19127,0.81201,0.0005546,0.0005546,0.0005546
75,10168.9,0.37554,0.22176,0.8031,0.99561,0.99176,0.99497,0.94218,0.32863,0.18893,0.80891,0.0005348,0.0005348,0.0005348
76,10298.5,0.37269,0.22206,0.80373,1,0.9907,0.995,0.9414,0.32223,0.18241,0.81,0.000515,0.000515,0.000515
77,10416.7,0.3709,0.21931,0.79919,1,0.99206,0.995,0.94278,0.31629,0.18382,0.80788,0.0004952,0.0004952,0.0004952
78,10540.1,0.36643,0.21722,0.7989,0.99449,0.9925,0.99497,0.94043,0.32189,0.1859,0.80945,0.0004754,0.0004754,0.0004754
79,10658.3,0.36706,0.21836,0.7965,0.99881,0.98352,0.99494,0.93779,0.32201,0.18505,0.80895,0.0004556,0.0004556,0.0004556
80,10789.4,0.37146,0.21782,0.80076,1,0.98646,0.99497,0.94226,0.32151,0.18729,0.80846,0.0004358,0.0004358,0.0004358
81,10916.9,0.37506,0.21927,0.80104,1,0.99088,0.995,0.94267,0.31624,0.18294,0.80775,0.000416,0.000416,0.000416
82,11056.6,0.35811,0.21423,0.80086,0.99724,0.99146,0.99497,0.94099,0.31878,0.18192,0.80851,0.0003962,0.0003962,0.0003962
83,11200.3,0.36381,0.2156,0.79784,0.99722,0.98651,0.99495,0.94645,0.32009,0.18309,0.80819,0.0003764,0.0003764,0.0003764
84,11339.9,0.35838,0.21254,0.80156,0.99765,0.98077,0.99497,0.94745,0.31196,0.18196,0.80774,0.0003566,0.0003566,0.0003566
85,11479.4,0.36024,0.21158,0.79865,1,0.99004,0.995,0.94831,0.30805,0.1828,0.80566,0.0003368,0.0003368,0.0003368
86,11624,0.35981,0.21056,0.80222,1,0.98625,0.995,0.94708,0.31359,0.18214,0.80671,0.000317,0.000317,0.000317
87,11788,0.3549,0.20768,0.80169,1,0.98891,0.995,0.94494,0.31221,0.17645,0.80623,0.0002972,0.0002972,0.0002972
88,11926,0.34896,0.20646,0.79737,0.99723,0.98947,0.99495,0.94461,0.30889,0.17847,0.8053,0.0002774,0.0002774,0.0002774
89,12081.3,0.35221,0.20643,0.79922,0.99724,0.99326,0.99497,0.94652,0.3108,0.17623,0.80644,0.0002576,0.0002576,0.0002576
90,12231.8,0.3442,0.20587,0.79713,0.99448,0.9904,0.99492,0.94526,0.30868,0.17939,0.80611,0.0002378,0.0002378,0.0002378
91,12379.3,0.34531,0.20397,0.79224,1,0.99387,0.995,0.93971,0.32259,0.18272,0.80755,0.000218,0.000218,0.000218
92,12510.7,0.33695,0.19822,0.78987,0.99724,0.9929,0.995,0.94324,0.31794,0.18041,0.80683,0.0001982,0.0001982,0.0001982
93,12681.9,0.33462,0.19599,0.79549,1,0.99069,0.995,0.94563,0.31004,0.17917,0.80603,0.0001784,0.0001784,0.0001784
94,12850.4,0.3367,0.19542,0.79656,1,0.98848,0.99497,0.94475,0.30814,0.17746,0.80571,0.0001586,0.0001586,0.0001586
95,13024,0.3309,0.19141,0.78758,0.99995,0.99451,0.995,0.94483,0.31068,0.17791,0.8063,0.0001388,0.0001388,0.0001388
96,13185.7,0.32971,0.19193,0.79111,1,0.992,0.995,0.94661,0.3127,0.17776,0.80513,0.000119,0.000119,0.000119
97,13308.5,0.3305,0.19245,0.78896,1,0.99423,0.995,0.94426,0.31231,0.17865,0.8055,9.92e-05,9.92e-05,9.92e-05
98,13416.2,0.32453,0.18944,0.79102,1,0.99302,0.995,0.94527,0.3132,0.17731,0.80663,7.94e-05,7.94e-05,7.94e-05
99,13538.6,0.32481,0.18772,0.789,1,0.99156,0.995,0.94704,0.30654,0.17748,0.80516,5.96e-05,5.96e-05,5.96e-05
100,13662.2,0.321,0.1847,0.79213,1,0.99362,0.995,0.94607,0.31036,0.1742,0.80529,3.98e-05,3.98e-05,3.98e-05
