epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.183,0.62894,1.57504,0.82766,0.9914,0.95039,0.9809,0.80145,0.53425,0.68702,0.83774,0.000662963,0.000662963,0.000662963
2,298.084,0.58607,0.72884,0.82869,0.9874,0.92857,0.97317,0.8052,0.52691,0.45585,0.84225,0.00132305,0.00132305,0.00132305
3,444.571,0.55663,0.4991,0.82469,0.98874,0.96467,0.98194,0.83966,0.47345,0.33953,0.83147,0.00197653,0.00197653,0.00197653
4,573.95,0.54659,0.42431,0.82726,0.99034,0.95055,0.98053,0.82586,0.506,0.34622,0.83951,0.0019703,0.0019703,0.0019703
5,690.351,0.52112,0.37518,0.81541,0.99621,0.95055,0.98586,0.85098,0.49348,0.31473,0.83925,0.0019604,0.0019604,0.0019604
6,804.49,0.50949,0.35514,0.81656,1,0.95783,0.98855,0.88505,0.42886,0.29065,0.82365,0.0019505,0.0019505,0.0019505
7,931.611,0.49946,0.34581,0.81399,0.99385,0.96703,0.99191,0.86665,0.44354,0.29437,0.82349,0.0019406,0.0019406,0.0019406
8,1048.45,0.49545,0.32575,0.8087,0.99318,0.96978,0.99342,0.87332,0.40979,0.26796,0.8245,0.0019307,0.0019307,0.0019307
9,1096.06,0.48679,0.32326,0.81066,0.99428,0.93956,0.9885,0.8862,0.40527,0.28009,0.82287,0.0019208,0.0019208,0.0019208
10,1211.13,0.47257,0.31565,0.81005,0.99712,0.95244,0.98834,0.85562,0.45135,0.30665,0.82609,0.0019109,0.0019109,0.0019109
11,1314.07,0.47281,0.31126,0.80559,0.99526,0.96978,0.98889,0.89116,0.40186,0.27264,0.81999,0.001901,0.001901,0.001901
12,1435.59,0.44809,0.29575,0.80528,0.9976,0.94231,0.97514,0.8414,0.44877,0.28784,0.82276,0.0018911,0.0018911,0.0018911
13,1562.38,0.45309,0.29797,0.80242,0.99412,0.97253,0.99298,0.89892,0.38707,0.25655,0.81377,0.0018812,0.0018812,0.0018812
14,1609.85,0.45405,0.29568,0.80727,0.98603,0.96984,0.99294,0.89905,0.37219,0.25114,0.81211,0.0018713,0.0018713,0.0018713
15,1732.61,0.44083,0.29158,0.80412,0.98894,0.98271,0.99298,0.90829,0.38108,0.24796,0.81492,0.0018614,0.0018614,0.0018614
16,1826.36,0.44009,0.28614,0.80249,0.98084,0.98455,0.99434,0.91181,0.36637,0.23784,0.81357,0.0018515,0.0018515,0.0018515
