dist,xl_1,yl_1,xl_2,yl_2,xl_3,yl_3,xr_1,yr_1,xr_2,yr_2,xr_3,yr_3
1200,982,62,982,166,878,63,812,62,813,166,709,63
1210,984,63,984,166,881,64,816,64,816,167,714,64
1220,987,65,987,167,885,65,820,65,820,168,719,66
1230,977,66,977,167,876,67,813,67,812,168,712,67
1240,980,68,981,167,880,69,817,69,817,169,718,69
1250,980,69,980,169,882,69,819,70,819,169,720,70
1260,979,70,979,169,881,71,818,70,818,170,721,71
1270,977,71,978,169,880,72,818,72,818,170,721,72
1280,974,72,974,170,877,73,816,73,816,169,719,73
1290,974,74,974,170,878,73,816,74,816,171,721,74
1300,968,74,968,170,873,74,812,75,812,170,717,75
1310,969,75,970,170,876,75,815,76,815,170,721,76
1320,968,76,968,171,874,76,814,77,814,171,720,77
1330,967,77,967,170,874,77,814,78,814,171,721,78
1340,969,77,969,171,877,78,817,78,817,171,725,79
1350,966,78,966,171,874,79,815,79,815,171,724,79
1360,966,79,966,171,875,80,816,80,816,172,725,80
1370,965,80,965,170,874,80,815,80,816,171,725,80
1380,962,80,962,170,872,80,813,80,814,171,723,81
1390,956,81,957,170,868,81,810,81,811,171,722,82
1400,956,82,956,171,868,82,810,82,811,171,722,83
1410,949,83,949,171,861,83,804,83,804,171,717,83
1420,946,83,946,171,859,83,802,83,803,171,716,84
1430,946,84,946,171,860,84,804,85,804,171,717,85
1440,945,85,946,171,860,85,804,85,804,171,718,85
1450,943,85,944,171,858,86,803,86,803,171,717,86
1460,945,86,945,171,860,87,805,87,805,172,721,87
1470,951,86,951,172,867,86,812,87,812,172,728,87
1480,943,87,943,171,859,88,805,88,805,172,722,88
1490,944,88,944,172,861,88,807,88,807,172,724,89
1500,936,89,936,172,854,89,800,89,800,172,717,90
1510,936,89,936,172,853,90,800,89,800,173,718,90
1520,928,90,928,173,846,91,794,91,794,172,712,91
1530,934,91,934,172,853,91,800,91,800,173,719,92
1540,934,91,934,173,853,92,801,92,801,173,721,92
1550,928,92,928,173,849,92,796,92,796,173,716,93
1560,933,92,933,173,853,93,802,93,802,173,722,94
1570,928,93,928,173,848,94,797,93,797,173,718,94
1580,928,94,928,172,849,95,798,95,798,173,720,95
1590,925,94,925,173,847,95,796,95,796,173,718,95
1600,921,95,921,173,844,96,793,96,793,173,715,96
1610,921,96,921,173,844,96,794,96,794,173,717,96
1620,925,97,925,173,848,97,798,97,798,174,722,97
1630,915,97,915,173,838,98,789,98,789,174,712,98
1640,918,98,918,173,842,98,793,98,793,173,717,98
1650,919,99,919,173,843,99,795,99,795,174,719,99
1660,917,99,917,174,842,99,793,99,793,174,719,99
1670,911,99,911,174,837,100,788,99,788,174,714,100
1680,908,99,909,174,835,100,786,100,786,174,713,100
1690,909,100,909,174,835,101,788,101,788,174,714,101
1700,913,101,913,174,840,101,792,101,792,174,719,101
1710,907,101,907,174,834,102,786,101,786,174,714,102
1720,903,102,903,174,831,102,783,102,783,174,712,102
1730,908,102,908,174,836,102,789,102,789,174,717,103
1740,907,102,907,174,836,103,789,103,789,174,718,103
1750,908,103,908,174,837,103,790,103,790,175,719,104
1760,905,104,905,175,834,104,788,104,788,175,718,104
1770,903,104,903,174,833,104,786,104,786,175,717,104
1780,903,104,903,175,833,105,788,105,788,174,717,105
1790,906,105,906,174,837,105,791,105,792,174,722,105
1800,901,105,901,174,832,105,787,106,787,174,718,106
1810,896,105,896,174,828,106,783,106,783,174,715,106
1820,900,106,900,174,832,106,787,106,787,175,719,107
1830,900,106,900,175,832,107,787,106,787,175,719,107
1840,892,107,892,175,825,107,780,107,780,175,712,108
1850,894,107,894,175,827,108,783,108,783,175,716,108
1860,895,108,895,175,829,108,784,108,784,175,718,108
1870,893,109,893,175,826,109,782,109,782,176,716,109
1880,893,109,893,175,827,109,783,109,783,176,717,110
1890,892,109,892,175,826,110,783,110,783,175,717,110
1900,891,110,891,175,826,110,783,111,783,175,717,111
1910,887,111,887,175,821,111,779,111,779,175,713,111
1920,886,111,886,176,822,111,779,111,779,176,714,112
1930,887,111,887,175,822,112,780,112,780,176,716,112
1940,887,112,887,176,823,112,781,112,781,176,717,113
1950,883,113,883,176,819,113,777,113,777,176,713,113
1960,881,113,881,176,818,113,776,113,776,176,712,114
1970,883,113,883,176,820,113,778,113,778,176,715,114
1980,882,113,882,176,819,114,778,114,778,176,715,114
1990,881,114,881,176,819,114,777,114,777,177,715,115
2000,882,115,882,176,819,115,778,115,778,177,716,115
2010,880,115,880,176,818,115,777,116,777,177,715,116
2020,881,115,881,177,819,116,779,116,779,177,717,116
2030,876,116,876,177,815,116,775,116,775,177,714,116
2040,880,116,880,177,819,117,779,117,779,177,718,117
2050,875,117,875,177,814,117,774,117,774,177,713,118
2060,869,117,869,178,809,117,769,118,769,177,709,118
2070,871,117,871,177,811,118,771,118,771,177,711,118
2080,869,118,869,178,810,118,769,118,769,178,710,118
2090,870,118,870,178,811,118,771,118,771,178,712,118
2100,873,119,873,178,814,119,774,119,774,178,715,119
2110,875,119,875,178,816,119,776,119,776,178,717,120
2120,868,119,868,177,809,119,770,120,770,178,711,120
2130,872,120,872,178,813,120,774,120,774,178,716,120
2140,870,120,870,178,812,120,773,121,773,178,715,121
2150,869,120,869,178,811,121,772,121,772,179,715,121
2160,865,121,865,178,808,121,769,121,769,178,712,121
2170,866,121,866,178,809,121,771,122,771,178,713,122
2180,867,122,867,178,810,121,772,122,772,178,715,122
2190,866,122,866,178,809,122,771,122,771,179,715,122
2200,866,122,866,178,809,122,772,123,772,178,715,123
