dist,xl_1,yl_1,xl_2,yl_2,xl_3,yl_3,xr_1,yr_1,xr_2,yr_2,xr_3,yr_3
1100,933,235,934,348,819,235,763,233,764,347,649,235
1150,924,252,926,360,817,253,764,252,765,359,655,253
1200,912,264,913,368,808,265,757,262,758,367,653,264
1250,905,277,906,377,805,278,757,276,758,376,657,277
1300,900,290,901,386,804,291,758,289,759,385,662,290
1350,895,303,895,395,803,303,759,301,760,393,667,302
1400,887,312,887,401,797,313,756,311,756,400,667,312
1450,881,322,881,408,795,322,756,321,756,406,670,321
1500,878,331,879,413,795,332,758,330,758,412,675,330
1550,876,339,876,418,795,339,758,337,759,417,678,338
1600,873,347,873,424,795,347,760,345,760,423,682,345
1650,867,354,867,429,791,354,758,352,758,427,682,353
1700,863,360,863,434,790,361,757,358,758,432,684,359
1750,865,368,865,438,793,368,763,367,763,437,691,366
1800,860,373,860,443,791,373,761,372,761,441,691,372
1850,856,379,856,446,789,379,760,378,759,445,692,378
1900,851,385,851,449,785,385,757,383,757,448,691,384
1950,859,390,859,453,795,390,769,389,769,451,705,388
2000,860,394,860,456,798,394,772,393,772,454,709,393
2050,852,396,852,458,791,397,766,396,766,456,704,396
2100,847,402,847,462,787,403,764,401,764,459,703,402
2150,842,406,842,465,784,407,761,405,761,463,702,406
2200,852,411,852,467,795,411,772,409,772,466,715,409
2800,829,446,829,490,784,446,769,444,769,488,724,444
4400,809,493,809,521,781,493,775,492,775,519,746,492
5300,803,508,803,532,779,509,776,507,776,530,752,507
2300,847,417,847,472,792,418,772,416,772,470,717,416
2450,839,428,839,478,788,428,769,426,769,477,718,426
